"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","1","2","1.1","0.3","-"
"2",1,"Justin Jefferson",MIN,"WR2","1","2","1.9","0.3","-"
"3",1,"CeeDee Lamb",DAL,"WR3","3","9","4.2","1.8","-"
"4",1,"Bijan Robinson",ATL,"RB1","3","10","5.4","1.7","-"
"5",2,"Amon-Ra St. Brown",DET,"WR4","3","14","7.1","2.9","-"
"6",2,"Jahmyr Gibbs",DET,"RB2","4","16","7.2","2.7","-"
"7",2,"Malik Nabers",NYG,"WR5","3","14","7.4","3.5","-"
"8",2,"Puka Nacua",LAR,"WR6","4","12","8.3","2.2","-"
"9",2,"Brian Thomas Jr.",JAC,"WR7","6","18","9.7","2.8","-"
"10",2,"Nico Collins",HOU,"WR8","5","17","10.4","3.0","-"
"11",2,"Saquon Barkley",PHI,"RB3","5","28","13.1","6.7","-"
"12",3,"Brock Bowers",LV,"TE1","7","29","15.8","7.0","-"
"13",3,"A.J. Brown",PHI,"WR9","10","25","16.0","3.6","-"
"14",3,"De'Von Achane",MIA,"RB4","12","27","16.5","3.1","-"
"15",3,"Drake London",ATL,"WR10","11","27","17.2","4.5","-"
"16",3,"Ashton Jeanty",FA,"RB5","7","62","19.1","15.2","-"
"17",3,"Jonathan Taylor",IND,"RB6","13","34","21.1","6.7","-"
"18",3,"Ladd McConkey",LAC,"WR11","15","29","21.3","4.0","-"
"19",3,"Garrett Wilson",NYJ,"WR12","13","36","21.7","6.9","-"
"20",3,"Jaxon Smith-Njigba",SEA,"WR13","15","33","22.0","5.6","-"
"21",3,"Trey McBride",ARI,"TE2","13","47","25.6","8.0","-"
"22",4,"Marvin Harrison Jr.",ARI,"WR14","17","46","25.7","8.5","-"
"23",4,"Josh Allen",BUF,"QB1","19","38","25.8","5.8","-"
"24",4,"Breece Hall",NYJ,"RB7","10","50","25.9","12.7","-"
"25",4,"Tee Higgins",CIN,"WR15","17","38","26.3","5.4","-"
"26",4,"Lamar Jackson",BAL,"QB2","12","42","26.8","7.3","-"
"27",4,"Bucky Irving",TB,"RB8","12","42","26.8","8.2","-"
"28",4,"Jayden Daniels",WAS,"QB3","10","51","32.0","9.4","-"
"29",4,"Kyren Williams",LAR,"RB9","19","68","35.2","13.5","-"
"30",4,"James Cook",BUF,"RB10","21","55","35.7","10.0","-"
"31",4,"Josh Jacobs",GB,"RB11","12","65","36.6","16.2","-"
"32",4,"Rashee Rice",KC,"WR16","22","67","37.2","11.4","-"
"33",4,"DeVonta Smith",PHI,"WR17","23","59","38.4","11.6","-"
"34",5,"Zay Flowers",BAL,"WR18","27","76","38.5","11.0","-"
"35",5,"Joe Burrow",CIN,"QB4","24","56","38.8","7.2","-"
"36",5,"Terry McLaurin",WAS,"WR19","20","59","40.1","12.0","-"
"37",5,"Jalen Hurts",PHI,"QB5","28","52","40.4","6.0","-"
"38",5,"Omarion Hampton",FA,"RB12","20","77","41.0","16.2","-"
"39",5,"Jordan Addison",MIN,"WR20","27","75","41.3","10.8","-"
"40",5,"Sam LaPorta",DET,"TE3","22","64","42.2","9.5","-"
"41",5,"Tetairoa McMillan",FA,"WR21","18","93","42.3","21.1","-"
"42",5,"DK Metcalf",PIT,"WR22","33","69","46.4","10.6","-"
"43",5,"Kenneth Walker III",SEA,"RB13","25","66","46.6","12.4","-"
"44",5,"Chase Brown",CIN,"RB14","28","113","47.7","18.6","-"
"45",5,"Patrick Mahomes II",KC,"QB6","21","72","47.9","11.9","-"
"46",5,"DJ Moore",CHI,"WR23","35","78","48.0","12.0","-"
"47",5,"Rome Odunze",CHI,"WR24","28","92","48.2","20.4","-"
"48",5,"Chris Olave",NO,"WR25","25","79","50.0","18.1","-"
"49",5,"Derrick Henry",BAL,"RB15","11","75","50.4","20.1","-"
"50",5,"Christian McCaffrey",SF,"RB16","16","67","51.7","16.9","-"
"51",5,"George Kittle",SF,"TE4","31","79","52.4","13.6","-"
"52",5,"Jaylen Waddle",MIA,"WR26","37","83","53.2","16.1","-"
"53",6,"Justin Herbert",LAC,"QB7","43","77","55.4","9.2","-"
